SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_ID,PLAYER_NAME,SEASON
22022,1630173,0022200740,2023-01-27,TOR @ GSW,L,36,8,12,0.667,0,2,0.0,1,3,0.333,5,6,11,2,1,0,2,2,17,-8,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200728,2023-01-25,TOR @ SAC,W,28,9,12,0.75,1,3,0.333,0,0,0.0,1,4,5,0,0,0,3,3,19,3,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200700,2023-01-22,TOR vs. NYK,W,36,2,4,0.5,0,0,0.0,8,10,0.8,4,7,11,1,2,0,2,5,12,3,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200692,2023-01-21,TOR vs. BOS,L,37,7,15,0.467,1,3,0.333,2,2,1.0,1,10,11,3,2,2,2,2,17,13,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200680,2023-01-19,TOR @ MIN,L,21,5,8,0.625,1,1,1.0,0,4,0.0,3,1,4,1,0,2,0,2,11,2,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200665,2023-01-17,TOR @ MIL,L,26,4,10,0.4,2,3,0.667,1,2,0.5,5,2,7,0,0,1,1,2,11,4,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200659,2023-01-16,TOR @ NYK,W,20,2,6,0.333,0,2,0.0,4,4,1.0,1,7,8,0,0,0,0,3,8,-8,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200644,2023-01-14,TOR vs. ATL,L,28,5,9,0.556,0,1,0.0,4,5,0.8,3,1,4,1,1,0,2,4,14,-4,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200629,2023-01-12,TOR vs. CHA,W,18,4,7,0.571,1,3,0.333,1,3,0.333,1,1,2,0,5,0,2,1,10,-1,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200613,2023-01-10,TOR vs. CHA,W,14,5,9,0.556,3,5,0.6,0,0,0.0,0,2,2,0,0,1,1,2,13,8,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200597,2023-01-08,TOR vs. POR,W,11,2,6,0.333,0,2,0.0,0,0,0.0,0,2,2,0,0,1,0,0,4,-4,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200582,2023-01-06,TOR vs. NYK,L,5,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,2,-7,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022200569,2023-01-04,TOR vs. MIL,L,12,1,5,0.2,0,2,0.0,0,0,0.0,1,1,2,0,0,0,1,0,2,-5,1,1630173,Precious Achiuwa,2022-23
